STATUS_CM,DETAILS,SHOP,LABELNO,ORDERNO,ORDERDATE,CM_PROJECTNO,PARTNO,SERIALNO,DESCRIPTION,QTY,DAYS_OPND,LOCATION,ARRIVAL_IN_SHOP,PAUSED,GROUP-SHOP,BACKORDER,ORDER_STATUS,TARGET_DATE,CONFIRMED_DATE,TOOL,MAT_CLASS,DURATION,STOCK,STOCK_PN,STOCK_INAC_WALTN,STOCK_IND_TOT,CONTRACT,POOL,PRIORP,PRIORP_RMK,pr_Available,pr_Transfer,pr_Order_Ext,pr_Order_Int,pr_Unavailable,ESTADO_MATERIALES,STATUS_NO_TOOL,STATUS_TOOL,PAUSED_NO_SHOP_TAT,PAUSED_SHOP_TAT,CM_STATUS_GLOB,WS_FIRMADO,WS_PENDIENTE,WS_PEND_INSP,WS_TOT,NEXT_WS,NEXT_STATUS,NEXT_DESC,NEXT_SOLAPA,step_date,step_days,porcent,steps
OPEN-TRANSFER-TO-SHOP,PENDING TO ACK CM - CM WITH MANHOURS,METROLOGY,0,R0025618TRF,2017-01-22,CM78655,3213-1,8748,COMPARADOR,1,2350,EZE/SHOP-EZE/U/S,,N,SHOP_EZE,1,O,,,Y,R,97,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,2,0,0,2,,,,,2022-07-08,357,100.0,2 de 2
PAUSED - OTHER,,METROLOGY,0,R0025617TRF,2015-08-28,CM1827,3213-1,1714,COMPARADOR,1,2863,EZE/SHOP-EZE/U/S,2022-01-26,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,519.79,PAUSED,0,1,0,1,1826,WS_PENDIENTE,Standard Workscope,Standard,2018-08-31,1764,100.0,1 de 1
OPEN-TRANSFER-TO-SHOP,PENDING TO ACK CM - CM WITH MANHOURS,METROLOGY,0,R0025617TRF,2015-08-28,CM78654,3213-1,1714,COMPARADOR,1,2863,EZE/SHOP-EZE/U/S,,N,SHOP_EZE,1,O,,,Y,R,175,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,6,0,0,6,,,,,2023-01-06,175,100.0,6 de 6
OPEN,OLDER-OPEN,METROLOGY,998911,R0795918,2018-11-28,CM10821,33-158,3446,CINTA METRICA,1,1675,EZE/AR-TL-SH/U/S,,N,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,0,3,0,3,89188,WS_PENDIENTE,DECIRLE AL SISTEMA LAS FECHAS NUEVAS,Requirements,2018-11-28,1675,33.0,1 de 3
PAUSED - NO MANPOWER,,METROLOGY-A,178520,R2935322,2022-11-18,CM88092,336,97440113,PINZA AMPEROMETRICA,1,224,AEP/AU-TOOL/U/S,2022-11-24,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,217.7,PAUSED,0,1,0,1,1012604,WS_PENDIENTE,CA (CALIBRATION) ON P/N:336 S/N:97440113,Requirements,2022-11-24,218,100.0,1 de 1
OPEN,OLDER-OPEN,METROLOGY,998917,R1231419,2019-01-17,CM13983,337,96190489,PINZA AMPEROMETRICA,1,1625,EZE/AR-TL-SH/U/S,,N,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,0,0,0,0,,,,,,,,
OPEN,OLDER-OPEN,METROLOGY,998917,R1231419,2019-01-17,CM102553,337,96190489,PINZA AMPEROMETRICA,1,1625,EZE/AR-TL-SH/U/S,,N,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,7.82,OPEN,0,7,2,9,1187871,WS_PENDIENTE,CA (CALIBRATION) ON P/N:J6169F S/N:07140076,Requirements,2023-06-22,8,11.0,1 de 9
PAUSED - OTHER,,METROLOGY,252608,R1363623,2023-05-12,CM100169,338C,338C-467701,MANOMETRO ABBITZ 0-50 PSID,1,49,EZE/AR-TL-SH/U/S,2023-05-17,Y,SHOP_EZE,1,O,,,Y,R,114,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,43.85,PAUSED,4,0,3,7,1188238,WS_PEND_INSP,Calibración,Check,2023-06-21,9,57.0,4 de 7
PAUSED - OTHER,,METROLOGY,250056,R1388223,2023-05-16,CM100174,34401A,US36090166,MULTIMETRO DIGITAL HP (KEYSIGHT),1,45,EZE/AR-TL-SH/U/S,2023-05-16,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,44.73,PAUSED,0,2,0,2,1156422,WS_PENDIENTE,CA (CALIBRATION) ON P/N:34401A S/N:US36090166,Requirements,2023-05-16,45,50.0,1 de 2
PAUSED - OTHER,,METROLOGY,197149,R1418323,2023-05-17,CM100370,34401A,US36043449,MULTIMETRO DIGITAL HP (KEYSIGHT),1,44,EZE/AR-TL-SH/PRESERVADO METRO,2023-05-17,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,43.61,PAUSED,0,8,2,10,1159310,WS_PENDIENTE,CA (CALIBRATION) ON P/N:34401A S/N:US36043449,Requirements,2023-05-17,44,10.0,1 de 10
