STATUS_CM,DETAILS,SHOP,LABELNO,ORDERNO,ORDERDATE,CM_PROJECTNO,PARTNO,SERIALNO,DESCRIPTION,QTY,DAYS_OPND,LOCATION,ARRIVAL_IN_SHOP,PAUSED,GROUP-SHOP,BACKORDER,ORDER_STATUS,TARGET_DATE,CONFIRMED_DATE,TOOL,MAT_CLASS,DURATION,STOCK,STOCK_PN,STOCK_INAC_WALTN,STOCK_IND_TOT,CONTRACT,POOL,PRIORP,PRIORP_RMK,pr_Available,pr_Transfer,pr_Order_Ext,pr_Order_Int,pr_Unavailable,ESTADO_MATERIALES,STATUS_NO_TOOL,STATUS_TOOL,PAUSED_NO_SHOP_TAT,PAUSED_SHOP_TAT,CM_STATUS_GLOB,WS_FIRMADO,WS_PENDIENTE,WS_PEND_INSP,WS_TOT,NEXT_WS,NEXT_STATUS,NEXT_DESC,NEXT_SOLAPA,step_date,step_days,porcent,steps
PAUSED - NO MANPOWER,,METROLOGY,0,R0026316TRF,2017-04-12,CM2526,B81,8622,COMPARADOR,1,2270,EZE/SHOP-EZE/U/S,2022-10-18,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,254.86,PAUSED,0,1,0,1,2525,WS_PENDIENTE,Standard Workscope,Standard,2018-08-31,1764,100.0,1 de 1
OPEN-TRANSFER-TO-SHOP,PENDING TO ACK CM - CM WITH MANHOURS,METROLOGY,0,R0026316TRF,2017-04-12,CM79353,B81,8622,COMPARADOR,1,2270,EZE/SHOP-EZE/U/S,,N,SHOP_EZE,1,O,,,Y,R,273,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,8,0,0,8,,,,,2022-07-13,352,100.0,8 de 8
PAUSED - OTHER,,METROLOGY,0,R0026320TRF,2017-04-25,CM2530,B81,8898,COMPARADOR,1,2257,EZE/SHOP-EZE/U/S,2022-01-26,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,519.63,PAUSED,0,1,0,1,2529,WS_PENDIENTE,Standard Workscope,Standard,2018-08-31,1764,100.0,1 de 1
OPEN-TRANSFER-TO-SHOP,PENDING TO ACK CM - CM WITH MANHOURS,METROLOGY,0,R0026320TRF,2017-04-25,CM79357,B81,8898,COMPARADOR,1,2257,EZE/SHOP-EZE/U/S,,N,SHOP_EZE,1,O,,,Y,R,215,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,8,0,0,8,,,,,2022-07-19,346,100.0,8 de 8
PAUSED - OTHER,,METROLOGY,0,R0026313TRF,2017-04-26,CM2523,B81,3425,COMPARADOR,1,2256,EZE/SHOP-EZE/U/S,2022-01-26,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,519.64,PAUSED,0,1,0,1,2522,WS_PENDIENTE,Standard Workscope,Standard,2018-08-31,1764,100.0,1 de 1
PAUSED - OTHER,,METROLOGY,0,R0026319TRF,2017-04-25,CM2529,B81,8862,COMPARADOR,1,2257,EZE/SHOP-EZE/U/S,2022-01-26,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,519.63,PAUSED,0,1,0,1,2528,WS_PENDIENTE,Standard Workscope,Standard,2018-08-31,1764,100.0,1 de 1
OPEN-TRANSFER-TO-SHOP,PENDING TO ACK CM - CM WITH MANHOURS,METROLOGY,0,R0026319TRF,2017-04-25,CM79356,B81,8862,COMPARADOR,1,2257,EZE/SHOP-EZE/U/S,,N,SHOP_EZE,1,O,,,Y,R,1520,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,9,0,0,9,,,,,2022-08-02,332,100.0,9 de 9
PAUSED - OTHER,,METROLOGY,0,R0026317TRF,2017-04-26,CM2527,B81,8848,COMPARADOR,1,2256,EZE/SHOP-EZE/U/S,2022-01-26,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,519.63,PAUSED,0,1,0,1,2526,WS_PENDIENTE,Standard Workscope,Standard,2018-08-31,1764,100.0,1 de 1
OPEN-TRANSFER-TO-SHOP,PENDING TO ACK CM - CM WITH MANHOURS,METROLOGY,0,R0026317TRF,2017-04-26,CM79354,B81,8848,COMPARADOR,1,2256,EZE/SHOP-EZE/U/S,,N,SHOP_EZE,1,O,,,Y,R,243,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,8,0,0,8,,,,,2022-07-13,352,100.0,8 de 8
PAUSED - OTHER,,METROLOGY,0,R0026321TRF,2017-04-02,CM2531,B81,8864,COMPARADOR,1,2280,EZE/SHOP-EZE/U/S,2022-01-26,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,519.64,PAUSED,0,1,0,1,2530,WS_PENDIENTE,Standard Workscope,Standard,2018-08-31,1764,100.0,1 de 1
PAUSED - OTHER,,METROLOGY,0,R0026315TRF,2017-04-12,CM2525,B81,8620,COMPARADOR,1,2270,EZE/SHOP-EZE/U/S,2022-01-26,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,519.63,PAUSED,0,1,0,1,2524,WS_PENDIENTE,Standard Workscope,Standard,2018-08-31,1764,100.0,1 de 1
PAUSED - OTHER,,METROLOGY,0,R0026322TRF,2016-11-27,CM2532,B81,7885,COMPARADOR,1,2406,EZE/SHOP-EZE/U/S,2022-01-26,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,519.7,PAUSED,0,1,0,1,2531,WS_PENDIENTE,Standard Workscope,Standard,2018-08-31,1764,100.0,1 de 1
OPEN-TRANSFER-TO-SHOP,PENDING TO ACK CM - CM WITH MANHOURS,METROLOGY,0,R0026322TRF,2016-11-27,CM79359,B81,7885,COMPARADOR,1,2406,EZE/SHOP-EZE/U/S,,N,SHOP_EZE,1,O,,,Y,R,183,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,6,0,0,6,,,,,2022-12-01,211,100.0,6 de 6
PAUSED - OTHER,,METROLOGY,0,R0026314TRF,2017-04-26,CM2524,B81,8352,COMPARADOR,1,2256,EZE/SHOP-EZE/U/S,2022-01-26,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,519.63,PAUSED,0,1,0,1,2523,WS_PENDIENTE,Standard Workscope,Standard,2018-08-31,1764,100.0,1 de 1
OPEN-TRANSFER-TO-SHOP,PENDING TO ACK CM - CM WITH MANHOURS,METROLOGY,0,R0026314TRF,2017-04-26,CM79351,B81,8352,COMPARADOR,1,2256,EZE/SHOP-EZE/U/S,,N,SHOP_EZE,1,O,,,Y,R,62,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,3,0,0,3,,,,,2022-07-15,350,100.0,3 de 3
PAUSED - NO MANPOWER,,METROLOGY,295446,R1793923,2023-06-22,CM102752,BDT18,V1810-3171,MANOMETRO,1,8,EZE/AR-TL-H/U/S,2023-06-23,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,6.84,PAUSED,0,2,0,2,1189437,WS_PENDIENTE,CA (CALIBRATION) ON P/N:BDT18 S/N:V1810-3171,Requirements,2023-06-22,8,50.0,1 de 2
PAUSED - NO MANPOWER,,METROLOGY-A,265456,R1592823,2023-06-02,CM101457,BFP-200,DR328,MANOMETRO,1,28,AEP/AU-TOOL/U/S,2023-06-05,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,24.71,PAUSED,0,7,2,9,1173544,WS_PENDIENTE,CA (CALIBRATION) ON P/N:BFP-200 S/N:DR328,Requirements,2023-06-05,25,11.0,1 de 9
PAUSED - OTHER,,METROLOGY-A,0,R0025324TRF,2010-07-08,CM3016,BKP60,200801,TERMOCUPLA,1,4740,AEP/SHOP-AEP/U/S,2021-09-21,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,646.85,PAUSED,0,1,0,1,3014,WS_PENDIENTE,Standard Workscope,Standard,2018-08-31,1764,100.0,1 de 1
OPEN-TRANSFER-TO-SHOP,PENDING TO ACK CM - CM WITH MANHOURS,METROLOGY-A,0,R0025324TRF,2010-07-08,CM78370,BKP60,200801,TERMOCUPLA,1,4740,AEP/SHOP-AEP/U/S,,N,SHOP_EZE,1,O,,,Y,R,30,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,1,0,0,1,,,,,2022-06-29,366,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,286399,R1713923,2023-06-14,CM102209,BM817,053400059,MULTIMETRO DIGITAL,1,16,EZE/AR-TL-H/U/S,2023-06-15,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,14.71,PAUSED,0,7,2,9,1183204,WS_PENDIENTE,CA (CALIBRATION) ON P/N:BM817 S/N:053400059,Requirements,2023-06-15,15,11.0,1 de 9
PAUSED - NO MANPOWER,,METROLOGY-A,135510,R0938622,2022-04-14,CM73861,BM817,043290162,MULTIMETRO DIGITAL,1,442,AEP/AU-TOOL/U/S,2022-04-14,Y,SHOP_EZE,1,O,,,Y,R,720,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,440.69,PAUSED,0,0,1,1,837678,WS_PEND_INSP,CA (CALIBRATION) ON P/N:BM817 S/N:043290162,Requirements,2022-07-22,343,100.0,1 de 1
PAUSED - OTHER,,METROLOGY-A,52832,R0510222,2022-03-04,CM71251,BM817,043290155,MULTIMETRO DIGITAL,1,483,AEP/AU-TOOL/U/S,2022-03-07,Y,SHOP_EZE,1,O,,,Y,R,720,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,479.92,PAUSED,0,0,1,1,802788,WS_PEND_INSP,CA (CALIBRATION) ON P/N:BM817 S/N:043290155,Requirements,2022-07-22,343,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,50505,R1920420,2020-11-16,CM50227,BM817,043290161,MULTIMETRO DIGITAL,1,956,AEP/AU-TOOL/U/S,2021-09-21,Y,SHOP_EZE,1,O,,,Y,R,720,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,645.67,PAUSED,0,0,1,1,919528,WS_PEND_INSP,CA (CALIBRATION) ON P/N:BM817 S/N:043290161,Requirements,2022-07-22,343,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,160579,R2595322,2022-10-14,CM85741,BM817,044420195,MULTIMETRO DIGITAL,1,259,AEP/AU-TOOL/U/S,2022-10-17,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,255.83,PAUSED,0,1,0,1,984485,WS_PENDIENTE,CA (CALIBRATION) ON P/N:BM817 S/N:044420195,Requirements,2022-10-17,256,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,265561,R1592623,2023-06-02,CM101458,BOP-5000,DET2,MANOMETRO,1,28,AEP/AU-TOOL/U/S,2023-06-05,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,24.8,PAUSED,0,7,2,9,1173553,WS_PENDIENTE,CA (CALIBRATION) ON P/N:BOP-5000 S/N:DET2,Requirements,2023-06-05,25,11.0,1 de 9
PAUSED - NO MANPOWER,,METROLOGY-A,313527,R1869523,2023-06-29,CM103310,BU2581AD,2521,MANOMETRO,1,1,AEP/AR-TL-HA/U/S,2023-06-29,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.76,PAUSED,0,7,2,9,1196784,WS_PENDIENTE,CA (CALIBRATION) ON P/N:BU2581AD S/N:2521,Requirements,2023-06-29,1,11.0,1 de 9
PAUSED - OTHER,,METROLOGY,0,R0026347TRF,2015-11-04,CM2557,C-53849,53849,MANOMETRO,1,2795,EZE/AR-TL-H/PRESERVADO,2022-01-31,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,514.75,PAUSED,0,1,0,1,2556,WS_PENDIENTE,Standard Workscope,Standard,2018-08-31,1764,100.0,1 de 1
OPEN,PENDING TO ACK CM - CM WITH MANHOURS,METROLOGY,0,R0026347TRF,2015-11-04,CM79384,C-53849,53849,MANOMETRO,1,2795,EZE/AR-TL-H/PRESERVADO,,N,SHOP_EZE,1,O,,,Y,R,171,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,18,0,0,18,,,,,2022-07-18,347,100.0,18 de 18
PAUSED - NO MANPOWER,,METROLOGY,236789,R1065323,2023-04-14,CM97905,CM-24436,24436,MANOMETRO,1,77,EZE/AR-TL-SH/U/S,2023-04-19,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,71.75,PAUSED,0,2,0,2,1127641,WS_PENDIENTE,CA (CALIBRATION) ON P/N:CM-24436 S/N:24436,Requirements,2023-04-14,77,50.0,1 de 2
PAUSED - NO MANPOWER,,METROLOGY-A,198441,R0791323,2023-03-22,CM96003,CU-2581-HJ,5530-005,MANOMETRO DE 0-600 PSI,1,100,AEP/AR-TL-HA/U/S,2023-03-23,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,98.84,PAUSED,0,6,2,8,1109288,WS_PENDIENTE,CA (CALIBRATION) ON P/N:CU-2581-HJ S/N:5530-005,Requirements,2023-03-23,99,13.0,1 de 8
PAUSED - OTHER,,METROLOGY,152034,R1064423,2023-04-14,CM97882,DH-100,607102,CONTROLADOR DE TEMPERATURA,1,77,EZE/AR-TL-SH/U/S,2023-04-19,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,71.79,PAUSED,0,2,0,2,1127504,WS_PENDIENTE,CA (CALIBRATION) ON P/N:DH-100 S/N:607102,Requirements,2023-04-14,77,50.0,1 de 2
PAUSED - NO MANPOWER,,METROLOGY-A,499608,R1280323,2023-05-04,CM99429,DLT01MAPM1012,AA2315,MANOMETRO,1,57,AEP/AU-TOOL/U/S,2023-05-04,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,56.79,PAUSED,0,7,2,9,1145236,WS_PENDIENTE,CA (CALIBRATION) ON P/N:DLT01MAPM1012 S/N:AA2315,Requirements,2023-05-04,57,11.0,1 de 9
PAUSED - NO MANPOWER,,METROLOGY,0,R0026384TRF,2017-07-08,CM2594,E69026 0,ARTF-0011,FLOW TESTER REG,1,2183,EZE/SHOP-EZE/U/S,2022-10-25,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,247.75,PAUSED,0,1,0,1,2593,WS_PENDIENTE,Standard Workscope,Standard,2018-08-31,1764,100.0,1 de 1
OPEN,OLDER-OPEN,METROLOGY,252527,R1817223,2023-06-23,CM102881,F72928-55,7270,BCO. PBA. ELEVADOR,1,7,EZE/AR-TL-H/U/S,,N,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,0,2,0,2,1190889,WS_PENDIENTE,CA (CALIBRATION) ON P/N:F72928-55 S/N:7270,Requirements,2023-06-23,7,50.0,1 de 2
PAUSED - NO MANPOWER,,METROLOGY-A,347971,R2005922,2022-08-12,CM81314,H-2016-01,3906000404,MANOMETRO,1,322,AEP/AU-TOOL/U/S,2022-08-12,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,321.82,PAUSED,0,1,0,1,934783,WS_PENDIENTE,CA (CALIBRATION) ON P/N:H-2016-01 S/N:3906000404,Requirements,2022-08-12,322,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,1003457,R0410218,2018-10-17,CM7780,H-2016-01,T-32386,MANOMETRO,1,1717,AEP/AU-TOOL/U/S,2022-04-20,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,435.38,PAUSED,0,1,0,1,49148,WS_PENDIENTE,CA (CALIBRATION) ON P/N:H-2016-01 S/N:T-32386,Requirements,2022-04-20,436,100.0,1 de 1
OPEN,PENDING TO ACK CM - CM WITH MANHOURS,METROLOGY-A,1003457,R0410218,2018-10-17,CM88424,H-2016-01,T-32386,MANOMETRO,1,1717,AEP/AU-TOOL/U/S,,N,SHOP_EZE,1,O,,,Y,R,111,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,0.0,OPEN,9,0,0,9,,,,,2022-11-28,214,100.0,9 de 9
PAUSED - OTHER,,METROLOGY-A,1004130,R0169320,2020-01-20,CM39994,H-2016-01,T-32383,MANOMETRO,1,1257,AEP/AU-TOOL/U/S,2021-08-03,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,695.76,PAUSED,0,2,0,2,481978,WS_PENDIENTE,CA (CALIBRATION) ON P/N:H-2016-01 S/N:T-32383,Requirements,2020-01-20,1257,50.0,1 de 2
PAUSED - NO MANPOWER,,METROLOGY-A,127729,R0306621,2021-02-17,CM53654,H-2016-01,T32290,MANOMETRO,1,863,AEP/AU-MAIN/U/S,2022-05-10,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,681.77,PAUSED,0,1,0,1,616500,WS_PENDIENTE,CA (CALIBRATION) ON P/N:H-2016-01 S/N:T32290,Requirements,2022-05-10,416,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,249938,R1175222,2022-05-11,CM75549,H-2016-01,T-32381,MANOMETRO,1,415,AEP/AU-TOOL/U/S,2022-05-12,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,413.89,PAUSED,0,1,0,1,858374,WS_PENDIENTE,CA (CALIBRATION) ON P/N:H-2016-01 S/N:T-32381,Requirements,2022-05-12,414,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,179518,R2292421,2021-12-29,CM67766,H-2016-01,1252091008,MANOMETRO,1,548,AEP/AR-TL-HA/U/S,2021-12-29,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,547.73,PAUSED,0,1,0,1,763225,WS_PENDIENTE,CA (CALIBRATION) ON P/N:H-2016-01 S/N:1252091008,Requirements,2021-12-29,548,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,124836,R0128321,2021-01-22,CM52622,H-2016-01,T24975,MANOMETRO,1,889,AEP/AU-MAIN/U/S,2022-06-06,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,658.81,PAUSED,0,1,0,1,606896,WS_PENDIENTE,CA (CALIBRATION) ON P/N:H-2016-01 S/N:T24975,Requirements,2022-06-06,389,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,524077,R1730023,2023-06-15,CM102288,H-2016-01,T22447,MANOMETRO,1,15,AEP/AU-TOOL/U/S,2023-06-23,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,6.85,PAUSED,0,7,2,9,1184670,WS_PENDIENTE,CA (CALIBRATION) ON P/N:H-2016-01 S/N:T22447,Requirements,2023-06-23,7,11.0,1 de 9
PAUSED - NO MANPOWER,,METROLOGY-A,171774,R3263122,2022-12-29,CM90407,H-2016-01,T31655,MANOMETRO,1,183,AEP/AU-TOOL/U/S,2022-12-30,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,181.79,PAUSED,0,1,0,1,1040957,WS_PENDIENTE,CA (CALIBRATION) ON P/N:H-2016-01 S/N:T31655,Requirements,2022-12-30,182,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,174201,R2066021,2021-11-29,CM66321,H-2016-01,T32288,MANOMETRO,1,578,AEP/AR-MAIN/U/S,2022-01-20,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,525.66,PAUSED,0,1,0,1,748070,WS_PENDIENTE,CA (CALIBRATION) ON P/N:H-2016-01 S/N:T32288,Requirements,2022-01-20,526,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,296126,R1523822,2022-06-21,CM77909,H-2016-01,T22442,MANOMETRO,1,374,AEP/AU-TOOL/U/S,2022-06-21,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,373.7,PAUSED,0,1,0,1,892675,WS_PENDIENTE,CA (CALIBRATION) ON P/N:H-2016-01 S/N:T22442,Requirements,2022-06-21,374,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,449420,R0457523,2023-02-22,CM93768,H-2016-01,T27851,MANOMETRO,1,128,AEP/AR-MAIN/U/S,2023-03-09,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,112.65,PAUSED,0,1,0,1,1084600,WS_PENDIENTE,CA (CALIBRATION) ON P/N:H-2016-01 S/N:T27851,Requirements,2023-03-09,113,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,461979,R0584223,2023-03-07,CM94681,H-2016-01,3906000405,MANOMETRO,1,115,AEP/AU-TOOL/U/S,2023-03-13,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,108.88,PAUSED,0,1,0,1,1094250,WS_PENDIENTE,CA (CALIBRATION) ON P/N:H-2016-01 S/N:3906000405,Requirements,2023-03-13,109,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,133536,R0663921,2021-04-09,CM56025,H-2016-01,T28662,MANOMETRO,1,812,AEP/AU-MAIN/U/S,2021-08-17,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,681.77,PAUSED,0,1,0,1,641951,WS_PENDIENTE,CA (CALIBRATION) ON P/N:H-2016-01 S/N:T28662,Requirements,2022-06-06,389,100.0,1 de 1
PAUSED - NO MANPOWER,,METROLOGY-A,506661,R1419223,2023-05-17,CM100380,H-2016-01,T28664,MANOMETRO,1,44,AEP/AU-TOOL/U/S,2023-05-18,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,42.87,PAUSED,0,7,2,9,1159398,WS_PENDIENTE,CA (CALIBRATION) ON P/N:H-2016-01 S/N:T28664,Requirements,2023-05-18,43,11.0,1 de 9
PAUSED - NO MANPOWER,,METROLOGY-A,523948,R1722423,2023-06-15,CM102265,H-2016-01,T32289,MANOMETRO,1,15,AEP/AU-TOOL/U/S,2023-06-15,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,14.85,PAUSED,0,7,2,9,1184015,WS_PENDIENTE,CA (CALIBRATION) ON P/N:H-2016-01 S/N:T32289,Requirements,2023-06-15,15,11.0,1 de 9
PAUSED - OTHER,,METROLOGY-A,84241,R4578519,2019-12-02,CM37551,H-2016-01,T27846,MANOMETRO,1,1306,AEP/AU-TOOL/U/S,2021-08-03,Y,SHOP_EZE,1,O,,,Y,R,,0.0,0.0,0.0,0.0,,,,,,,,,,NO REQUESTED PARTS,NO REQUESTED PARTS,NO REQUESTED PARTS,0.0,695.75,PAUSED,0,1,0,1,444878,WS_PENDIENTE,Standard Workscope,Standard,2019-12-02,1306,100.0,1 de 1
