cm_projectno,orderno,shop,cm_projectno_i,detailno_i,partno,orderno_i,order_type,order_date,closing_date,state,internal_repair,serial_batch_no,detail_state,qty_order,backorder,description,condition,receiving_number,detailno_i_rec,receiving_detail_number_id,qty_rec,partno_rec,delivery_date,serial_batch_rec,condition_POST,tat,ultima_act,ARRIVAL_IN_SHOP,DETAILNO_I_CM,PAUSED,PAUSING_REASON_I,MUTATOR,TAT_ack_to_close
CM24915,R2607819,METROLOGY,24915,125454,451377 SS,95624,R,2019-06-03,2019-08-21,C,Y,2073,R,1.0,0.0,MANOMETRO,CA,113039,125454,320200,1.0,451377 SS,2019-08-21,2073,R,79,2023-06-28T11:53:20.039Z,2019-08-21,125454,N,-1,AR013158,0
CM2494,R0026284TRF,METROLOGY,2495,79321,8255,56753,R,2018-05-06,2018-10-22,C,Y,041113-1,R,1.0,0.0,MANOMETRO,CA,83308,79321,247328,1.0,140-001,2018-10-22,041113-1,R,169,2023-06-28T11:53:20.039Z,,79321,N,-1,AR023252,
CM2495,R0026285TRF,METROLOGY,2496,79322,AISI316,56754,R,2016-07-27,2019-08-01,C,Y,7385,R,1.0,0.0,MANOMETRO,CA,110897,79322,315225,1.0,AISI316,2019-08-01,7385,R,1100,2023-06-28T11:53:20.039Z,2019-08-01,79322,N,-1,AR013812,0
CM2509,R0026299TRF,METROLOGY,2510,79336,AT520CT,56768,R,2016-10-07,2018-09-27,C,Y,7620,R,1.0,0.0,MANOMETRO DE MANDRILADORA,CA,81250,79336,242822,1.0,AT520CT,2018-09-27,7620,R,720,2023-06-28T11:53:20.039Z,2018-09-27,79336,N,-1,AR013158,0
CM25168,R2635319,METROLOGY-A,25168,125843,ACR-3-DZBASE,95952,R,2019-06-05,2019-12-27,C,Y,133373,R,1.0,0.0,HOT BONDER,CA,125881,125843,353836,1.0,ACR-3-DZBASE,2019-12-27,133373,R,205,2023-06-28T11:53:20.039Z,,25168,N,-1,AR037638,
CM25168,R2635319,METROLOGY-A,25168,125843,ACR-3-DZBASE,95952,R,2019-06-05,2019-12-27,C,Y,133373,R,1.0,0.0,HOT BONDER,CA,125881,125843,353836,1.0,ACR-3-DZBASE,2019-12-27,133373,R,205,2023-06-28T11:53:20.039Z,2019-07-23,125843,N,-1,AR037638,157
CM25171,R2635619,METROLOGY,25171,125850,TE 602 A,95958,R,2019-06-05,2019-06-17,C,Y,15197,R,1.0,0.0,TORQUIMETRO,CA,106160,125850,303663,1.0,TE602A,2019-06-17,15197,R,12,2023-06-28T11:53:20.039Z,2019-06-11,125850,N,-1,AR026509,6
CM25171,R2635619,METROLOGY,25171,125850,TE 602 A,95958,R,2019-06-05,2019-06-17,C,Y,15197,R,1.0,0.0,TORQUIMETRO,CA,106160,125850,303663,1.0,TE602A,2019-06-17,15197,R,12,2023-06-28T11:53:20.039Z,,25171,N,-1,AR026509,
CM25173,R2636319,METROLOGY,25173,125862,6000-PSI,95971,R,2019-06-05,2019-08-07,C,Y,3584,R,1.0,0.0,MANOMETRO,CA,111437,125862,316264,1.0,6000-PSI,2019-08-07,3584,R,63,2023-06-28T11:53:20.039Z,,25173,N,-1,AR013812,
CM25173,R2636319,METROLOGY,25173,125862,6000-PSI,95971,R,2019-06-05,2019-08-07,C,Y,3584,R,1.0,0.0,MANOMETRO,CA,111437,125862,316264,1.0,6000-PSI,2019-08-07,3584,R,63,2023-06-28T11:53:20.039Z,2019-08-06,125862,N,-1,AR013812,1
CM25195,R2637619,METROLOGY,25195,125885,TEC602FUAC,95988,R,2019-06-05,2019-06-15,C,Y,1018,R,1.0,0.0,TORQUIMETRO,CA,106113,125885,303595,1.0,TEC602FUAC,2019-06-15,1018,R,10,2023-06-28T11:53:20.039Z,,25195,N,-1,AR013158,
CM25195,R2637619,METROLOGY,25195,125885,TEC602FUAC,95988,R,2019-06-05,2019-06-15,C,Y,1018,R,1.0,0.0,TORQUIMETRO,CA,106113,125885,303595,1.0,TEC602FUAC,2019-06-15,1018,R,10,2023-06-28T11:53:20.039Z,2019-06-11,125885,N,-1,AR013158,4
CM25213,R2640319,METROLOGY,25213,125951,1609 0054,96039,R,2019-06-05,2019-07-31,C,Y,111869728,R,1.0,0.0,CRONOMETRO,CA,110703,125951,314738,1.0,1609 0054,2019-07-31,111869728,R,56,2023-06-28T11:53:20.039Z,,25213,N,-1,AR022228,
CM25213,R2640319,METROLOGY,25213,125951,1609 0054,96039,R,2019-06-05,2019-07-31,C,Y,111869728,R,1.0,0.0,CRONOMETRO,CA,110703,125951,314738,1.0,1609 0054,2019-07-31,111869728,R,56,2023-06-28T11:53:20.039Z,,125951,N,-1,AR022228,
CM25214,R2640419,METROLOGY,25214,125953,3JR,96040,R,2019-06-05,2019-06-12,C,Y,4766,R,1.0,0.0,MEDIDOR DE DUREZA,CA,105690,125953,302855,1.0,3JR,2019-06-12,4766,R,7,2023-06-28T11:53:20.039Z,,25214,N,-1,AR014968,
CM25214,R2640419,METROLOGY,25214,125953,3JR,96040,R,2019-06-05,2019-06-12,C,Y,4766,R,1.0,0.0,MEDIDOR DE DUREZA,CA,105690,125953,302855,1.0,3JR,2019-06-12,4766,R,7,2023-06-28T11:53:20.039Z,2019-06-12,125953,N,-1,AR014968,0
CM25355,R2648919,METROLOGY-A,25355,126106,QD1R50,96175,R,2019-06-06,2019-07-20,C,Y,1011098364,R,1.0,0.0,TORQUIMETRO,CA,109548,126106,312275,1.0,QD1R50,2019-07-20,1011098364,R,44,2023-06-28T11:53:20.039Z,,25355,N,-1,AU031609,
CM25355,R2648919,METROLOGY-A,25355,126106,QD1R50,96175,R,2019-06-06,2019-07-20,C,Y,1011098364,R,1.0,0.0,TORQUIMETRO,CA,109548,126106,312275,1.0,QD1R50,2019-07-20,1011098364,R,44,2023-06-28T11:53:20.039Z,2019-07-17,126106,N,-1,AU031609,3
CM25415,R2659019,METROLOGY,25415,126277,TE602FUA,96320,R,2019-06-07,2019-11-21,C,Y,12962,R,1.0,0.0,TORQUIMETRO,CA,122164,126277,344344,1.0,TE602FUA,2019-11-21,12962,R,167,2023-06-28T11:53:20.039Z,,25415,N,-1,AMOS_SRV,
CM25415,R2659019,METROLOGY,25415,126277,TE602FUA,96320,R,2019-06-07,2019-11-21,C,Y,12962,R,1.0,0.0,TORQUIMETRO,CA,122164,126277,344344,1.0,TE602FUA,2019-11-21,12962,R,167,2023-06-28T11:53:20.039Z,2019-11-18,126277,N,-1,AR014968,3
CM2552,R0026342TRF,METROLOGY,2553,79379,C27083-1,56811,R,2017-10-14,2019-05-17,C,Y,0470,R,1.0,0.0,RIGGING BAR ELEVAT,CA,103344,79379,297184,1.0,C27083-1,2019-05-17,0470,R,580,2023-06-28T11:53:20.039Z,2019-05-17,79379,N,-1,AR014968,0
CM2555,R0026345TRF,METROLOGY,2556,79382,C-32051,56814,R,2016-11-10,2019-01-23,C,Y,8361,R,1.0,0.0,HYDRAULIC BRAKE SYSTEM,US,91670,79382,267311,1.0,C32051-1,2019-01-23,SCI002,US,804,2023-06-28T11:53:20.039Z,2019-01-23,79382,N,-1,AR013158,0
CM25753,R2695319,METROLOGY-A,25753,126874,BU-2581-AQ,96839,R,2019-06-11,2019-07-30,C,Y,00AC,R,1.0,0.0,MANOMETRO,CA,110503,126874,314336,1.0,BU-2581-AQ,2019-07-30,00AC,R,49,2023-06-28T11:53:20.039Z,2019-07-29,126874,N,-1,AU047713,1
CM25753,R2695319,METROLOGY-A,25753,126874,BU-2581-AQ,96839,R,2019-06-11,2019-07-30,C,Y,00AC,R,1.0,0.0,MANOMETRO,CA,110503,126874,314336,1.0,BU-2581-AQ,2019-07-30,00AC,R,49,2023-06-28T11:53:20.039Z,,25753,N,-1,AU047713,
CM25827,R2712019,METROLOGY,25827,127130,TE6FUA,97060,R,2019-06-12,2019-09-16,C,Y,25784,R,1.0,0.0,TORQUIMETRO,CA,115801,127130,328704,1.0,TE6FUA,2019-09-16,25784,R,96,2023-06-28T11:53:20.039Z,,25827,N,-1,AR013158,
CM25827,R2712019,METROLOGY,25827,127130,TE6FUA,97060,R,2019-06-12,2019-09-16,C,Y,25784,R,1.0,0.0,TORQUIMETRO,CA,115801,127130,328704,1.0,TE6FUA,2019-09-16,25784,R,96,2023-06-28T11:53:20.039Z,2019-09-06,127130,N,-1,AR013158,10
CM25828,R2712219,METROLOGY,25828,127132,TE602FUA,97062,R,2019-06-12,2019-06-14,C,Y,7005,R,1.0,0.0,TORQUIMETRO,CA,106006,127132,303379,1.0,TE602FUA,2019-06-14,7005,R,2,2023-06-28T11:53:20.039Z,,25828,N,-1,AR013158,
CM25828,R2712219,METROLOGY,25828,127132,TE602FUA,97062,R,2019-06-12,2019-06-14,C,Y,7005,R,1.0,0.0,TORQUIMETRO,CA,106006,127132,303379,1.0,TE602FUA,2019-06-14,7005,R,2,2023-06-28T11:53:20.039Z,2019-06-14,127132,N,-1,AR013158,0
CM2586,R0026376TRF,METROLOGY,2587,79413,DIX365A,56845,R,2018-07-10,2018-10-16,C,Y,1221930,R,1.0,0.0,SENSOR DE LUZ UV,CA,82794,79413,246264,1.0,DIX-365A,2018-10-16,1221930,R,98,2023-06-28T11:53:20.039Z,,79413,N,-1,AR027451,
CM25866,R2715219,METROLOGY-A,25866,127204,2502MRMH,97104,R,2019-06-12,2020-11-16,C,Y,0217114323,R,1.0,0.0,TORQUIMETRO,CA,142538,127204,393720,1.0,2502MRMH,2020-11-16,0217114323,R,523,2023-06-28T11:53:20.039Z,,25866,N,-1,AU047713,
CM25866,R2715219,METROLOGY-A,25866,127204,2502MRMH,97104,R,2019-06-12,2020-11-16,C,Y,0217114323,R,1.0,0.0,TORQUIMETRO,CA,142538,127204,393720,1.0,2502MRMH,2020-11-16,0217114323,R,523,2023-06-28T11:53:20.039Z,2020-11-13,127204,N,-1,AU047713,3
CM25912,R2726919,METROLOGY-A,25912,127347,AU-MAN-4500,97230,R,2019-06-13,2019-06-13,C,Y,12154,R,1.0,0.0,MANÓMETRO,CA,105858,127347,303138,1.0,AU-MAN-4500,2019-06-13,12154,R,0,2023-06-28T11:53:20.039Z,2019-06-13,127347,N,-1,AU031609,0
CM25912,R2726919,METROLOGY-A,25912,127347,AU-MAN-4500,97230,R,2019-06-13,2019-06-13,C,Y,12154,R,1.0,0.0,MANÓMETRO,CA,105858,127347,303138,1.0,AU-MAN-4500,2019-06-13,12154,R,0,2023-06-28T11:53:20.039Z,,25912,N,-1,AU031609,
CM25918,R2727019,METROLOGY-A,25918,127348,1111168-1000,97231,R,2019-06-13,2019-06-13,C,Y,T-4631,R,1.0,0.0,MANOMETRO,CA,105856,127348,303133,1.0,1111168-1000,2019-06-13,T-4631,R,0,2023-06-28T11:53:20.039Z,2019-06-13,127348,N,-1,AU031609,0
CM25918,R2727019,METROLOGY-A,25918,127348,1111168-1000,97231,R,2019-06-13,2019-06-13,C,Y,T-4631,R,1.0,0.0,MANOMETRO,CA,105856,127348,303133,1.0,1111168-1000,2019-06-13,T-4631,R,0,2023-06-28T11:53:20.039Z,,25918,N,-1,AU031609,
CM25925,R2729019,METROLOGY-A,25925,127379,SPX622,97257,R,2019-06-13,2019-06-13,C,Y,B907247214,R,1.0,0.0,BALANZA DIGITAL 620 GR,CA,105797,127379,303026,1.0,SPX622,2019-06-13,B907247214,R,0,2023-06-28T11:53:20.039Z,,25925,N,-1,AU047713,
CM25925,R2729019,METROLOGY-A,25925,127379,SPX622,97257,R,2019-06-13,2019-06-13,C,Y,B907247214,R,1.0,0.0,BALANZA DIGITAL 620 GR,CA,105797,127379,303026,1.0,SPX622,2019-06-13,B907247214,R,0,2023-06-28T11:53:20.039Z,2019-06-13,127379,N,-1,AU047713,0
CM25987,R2741019,METROLOGY-A,25987,127634,6004MFRMH,97454,R,2019-06-14,2019-12-06,C,Y,0610040703,R,1.0,0.0,TORQUIMETRO,CA,123784,127634,348147,1.0,6004MFRMH,2019-12-06,0610040703,R,175,2023-06-28T11:53:20.039Z,,25987,N,-1,AU031609,
CM25987,R2741019,METROLOGY-A,25987,127634,6004MFRMH,97454,R,2019-06-14,2019-12-06,C,Y,0610040703,R,1.0,0.0,TORQUIMETRO,CA,123784,127634,348147,1.0,6004MFRMH,2019-12-06,0610040703,R,175,2023-06-28T11:53:20.039Z,2019-12-06,127634,N,-1,AU031609,0
CM2599,R0026389TRF,METROLOGY,2600,79426,EN-837-1,56858,R,2017-01-05,2023-03-19,C,Y,316 SS,R,1.0,0.0,MANOMETRO,CA,207193,79426,559884,1.0,EN-837-1,2023-03-19,316 SS,R,2264,2023-06-28T11:53:20.039Z,2022-10-06,79426,N,2,AR027170,164
CM25992,R2741719,METROLOGY-A,25992,127643,HCS2027-01,97463,R,2019-06-14,2019-07-12,C,Y,VAC284,R,1.0,0.0,MANOMETRO,CA,108694,127643,310385,1.0,HCS2027-01,2019-07-12,VAC284,R,28,2023-06-28T11:53:20.039Z,2019-07-10,127643,N,-1,AU047713,2
CM25992,R2741719,METROLOGY-A,25992,127643,HCS2027-01,97463,R,2019-06-14,2019-07-12,C,Y,VAC284,R,1.0,0.0,MANOMETRO,CA,108694,127643,310385,1.0,HCS2027-01,2019-07-12,VAC284,R,28,2023-06-28T11:53:20.039Z,,25992,N,-1,AU047713,
CM26108,R2767519,METROLOGY,26108,127987,NTG2604-S,97769,R,2019-06-18,2019-07-19,C,Y,23594/006,R,1.0,0.0,MANOMETRO DE RUEDAS,CA,109454,127987,312092,1.0,NTG2604-S,2019-07-19,23594/006,R,31,2023-06-28T11:53:20.039Z,2019-07-02,127987,N,-1,AR013158,17
CM26108,R2767519,METROLOGY,26108,127987,NTG2604-S,97769,R,2019-06-18,2019-07-19,C,Y,23594/006,R,1.0,0.0,MANOMETRO DE RUEDAS,CA,109454,127987,312092,1.0,NTG2604-S,2019-07-19,23594/006,R,31,2023-06-28T11:53:20.039Z,,26108,N,-1,AR013158,
CM26133,R2772019,METROLOGY-A,26133,128065,QD4R600,97843,R,2019-06-18,2020-08-19,C,Y,1110107944,R,1.0,0.0,TORQUIMETRO,CA,139202,128065,385688,1.0,QD4R600,2020-08-19,1110107944,R,428,2023-06-28T11:53:20.039Z,2020-02-15,128065,N,-1,AU047713,186
CM26133,R2772019,METROLOGY-A,26133,128065,QD4R600,97843,R,2019-06-18,2020-08-19,C,Y,1110107944,R,1.0,0.0,TORQUIMETRO,CA,139202,128065,385688,1.0,QD4R600,2020-08-19,1110107944,R,428,2023-06-28T11:53:20.039Z,,26133,N,-1,AU047713,
CM26171,R2779319,METROLOGY-A,26171,128180,QD2RN50,97952,R,2019-06-19,2019-11-25,C,Y,0711048002,R,1.0,0.0,TORQUIMETRO,CA,122454,128180,344984,1.0,QD2RN50,2019-11-25,0711048002,R,159,2023-06-28T11:53:20.039Z,,26171,N,-1,AU031609,
CM26171,R2779319,METROLOGY-A,26171,128180,QD2RN50,97952,R,2019-06-19,2019-11-25,C,Y,0711048002,R,1.0,0.0,TORQUIMETRO,CA,122454,128180,344984,1.0,QD2RN50,2019-11-25,0711048002,R,159,2023-06-28T11:53:20.039Z,2019-11-14,128180,N,-1,AU031609,11
CM26172,R2779419,METROLOGY-A,26172,128181,QD2RN100,97954,R,2019-06-19,2019-11-22,C,Y,0411019743,R,1.0,0.0,TORQUIMETRO,CA,122304,128181,344605,1.0,QD2RN100,2019-11-22,0411019743,R,156,2023-06-28T11:53:20.039Z,,26172,N,-1,AU031609,
CM26172,R2779419,METROLOGY-A,26172,128181,QD2RN100,97954,R,2019-06-19,2019-11-22,C,Y,0411019743,R,1.0,0.0,TORQUIMETRO,CA,122304,128181,344605,1.0,QD2RN100,2019-11-22,0411019743,R,156,2023-06-28T11:53:20.039Z,2019-11-14,128181,N,-1,AU031609,8
CM26177,R2780319,METROLOGY,26177,128199,TTC-5,97971,R,2019-06-19,2019-06-27,C,Y,08801,R,1.0,0.0,TRANSDUCER,CA,107161,128199,306288,1.0,TTC-5,2019-06-27,08801,R,8,2023-06-28T11:53:20.039Z,,26177,N,-1,AR014968,
CM26177,R2780319,METROLOGY,26177,128199,TTC-5,97971,R,2019-06-19,2019-06-27,C,Y,08801,R,1.0,0.0,TRANSDUCER,CA,107161,128199,306288,1.0,TTC-5,2019-06-27,08801,R,8,2023-06-28T11:53:20.039Z,2019-06-27,128199,N,-1,AR014968,0
CM26178,R2780419,METROLOGY,26178,128200,TTC-14,97972,R,2019-06-19,2019-06-27,C,Y,12803,R,1.0,0.0,TRANSDUCER,CA,107167,128200,306298,1.0,TTC-14,2019-06-27,12803,R,8,2023-06-28T11:53:20.039Z,2019-06-27,128200,N,-1,AR014968,0
CM26178,R2780419,METROLOGY,26178,128200,TTC-14,97972,R,2019-06-19,2019-06-27,C,Y,12803,R,1.0,0.0,TRANSDUCER,CA,107167,128200,306298,1.0,TTC-14,2019-06-27,12803,R,8,2023-06-28T11:53:20.039Z,,26178,N,-1,AR014968,
CM26179,R2780219,METROLOGY,26179,128198,TTC-12,97970,R,2019-06-19,2019-06-20,C,Y,12803,R,1.0,0.0,TRANSDUCER,CA,106491,128198,304304,1.0,TTC-12,2019-06-20,12803,R,1,2023-06-28T11:53:20.039Z,2019-06-20,128198,N,-1,AR013158,0
CM26179,R2780219,METROLOGY,26179,128198,TTC-12,97970,R,2019-06-19,2019-06-20,C,Y,12803,R,1.0,0.0,TRANSDUCER,CA,106491,128198,304304,1.0,TTC-12,2019-06-20,12803,R,1,2023-06-28T11:53:20.039Z,,26179,N,-1,AR013158,
CM2628,R0026418TRF,METROLOGY,2629,79455,G.V.,56887,R,2016-03-10,2023-03-14,C,Y,3748,R,1.0,0.0,MANOMETRO,CA,206545,79455,558192,1.0,G.V.,2023-03-14,3748,R,2560,2023-06-28T11:53:20.039Z,2022-10-06,79455,N,2,AR029578,159
CM2629,R0026419TRF,METROLOGY,2630,79456,G.V.,56888,R,2018-06-26,2018-09-24,C,Y,3031,R,1.0,0.0,MANOMETRO,CA,81082,79456,242381,1.0,G.V.,2018-09-24,3031,R,90,2023-06-28T11:53:20.039Z,2018-09-24,79456,N,-1,AR013158,0
CM26346,R2798719,METROLOGY-A,26346,128524,87,98231,R,2019-06-21,2019-09-12,C,Y,57620209,R,1.0,0.0,MULTIMETRO DIGITAL,CA,115281,128524,327705,1.0,87,2019-09-12,57620209,R,83,2023-06-28T11:53:20.039Z,,26346,N,-1,AU031609,
CM26346,R2798719,METROLOGY-A,26346,128524,87,98231,R,2019-06-21,2019-09-12,C,Y,57620209,R,1.0,0.0,MULTIMETRO DIGITAL,CA,115281,128524,327705,1.0,87,2019-09-12,57620209,R,83,2023-06-28T11:53:20.039Z,2019-09-10,128524,N,-1,AU031609,2
CM26347,R2799219,METROLOGY-A,26347,128531,501MRMH,98237,R,2019-06-21,2019-12-12,C,Y,0717701554,R,1.0,0.0,TORQUIMETRO,CA,124361,128531,350296,1.0,501MRMH,2019-12-12,0717701554,R,174,2023-06-28T11:53:20.039Z,,26347,N,-1,AU047713,
CM26347,R2799219,METROLOGY-A,26347,128531,501MRMH,98237,R,2019-06-21,2019-12-12,C,Y,0717701554,R,1.0,0.0,TORQUIMETRO,CA,124361,128531,350296,1.0,501MRMH,2019-12-12,0717701554,R,174,2023-06-28T11:53:20.039Z,2019-11-27,128531,N,-1,AU047713,15
CM26389,R2808119,METROLOGY-A,26389,128657,NTG2604-S,98348,R,2019-06-21,2019-07-18,C,Y,12171,R,1.0,0.0,MANOMETRO DE RUEDAS,CA,109262,128657,311710,1.0,NTG2604-S,2019-07-18,12171,R,27,2023-06-28T11:53:20.039Z,2019-07-16,128657,N,-1,AU031609,2
CM26389,R2808119,METROLOGY-A,26389,128657,NTG2604-S,98348,R,2019-06-21,2019-07-18,C,Y,12171,R,1.0,0.0,MANOMETRO DE RUEDAS,CA,109262,128657,311710,1.0,NTG2604-S,2019-07-18,12171,R,27,2023-06-28T11:53:20.039Z,,26389,N,-1,AU031609,
CM26391,R2808419,METROLOGY-A,26391,128660,AU-MAN-1000,98351,R,2019-06-21,2019-06-25,C,Y,T-4589,R,1.0,0.0,MANOMETRO,CA,106904,128660,305598,1.0,AU-MAN-1000,2019-06-25,T-4589,R,4,2023-06-28T11:53:20.039Z,2019-06-24,128660,N,-1,AU047713,1
CM26391,R2808419,METROLOGY-A,26391,128660,AU-MAN-1000,98351,R,2019-06-21,2019-06-25,C,Y,T-4589,R,1.0,0.0,MANOMETRO,CA,106904,128660,305598,1.0,AU-MAN-1000,2019-06-25,T-4589,R,4,2023-06-28T11:53:20.039Z,,26391,N,-1,AU047713,
CM26433,R2818119,METROLOGY,26433,128805,NTG2604-S,98456,R,2019-06-24,2019-07-25,C,Y,23594/002,R,1.0,0.0,MANOMETRO DE RUEDAS,CA,110116,128805,313577,1.0,NTG2604-S,2019-07-25,23594/002,R,31,2023-06-28T11:53:20.039Z,,26433,N,-1,AR013812,
CM26433,R2818119,METROLOGY,26433,128805,NTG2604-S,98456,R,2019-06-24,2019-07-25,C,Y,23594/002,R,1.0,0.0,MANOMETRO DE RUEDAS,CA,110116,128805,313577,1.0,NTG2604-S,2019-07-25,23594/002,R,31,2023-06-28T11:53:20.039Z,2019-07-15,128805,N,-1,AR013812,10
CM2644,R0026434TRF,METROLOGY,2645,79471,G485,56903,R,2017-12-28,2018-10-24,C,Y,1968,R,1.0,0.0,GO-NO-GO,CA,83547,79471,247790,1.0,G485,2018-10-24,1968,R,300,2023-06-28T11:53:20.039Z,2018-09-17,79471,N,-1,AR013158,37
CM26445,R2818919,METROLOGY,26445,128817,NTG2604-S,98466,R,2019-06-24,2019-07-26,C,Y,11330/012,R,1.0,0.0,MANOMETRO DE RUEDAS,CA,110191,128817,313735,1.0,NTG2604-S,2019-07-26,11330/012,R,32,2023-06-28T11:53:20.039Z,,26445,N,-1,AR013812,
CM26445,R2818919,METROLOGY,26445,128817,NTG2604-S,98466,R,2019-06-24,2019-07-26,C,Y,11330/012,R,1.0,0.0,MANOMETRO DE RUEDAS,CA,110191,128817,313735,1.0,NTG2604-S,2019-07-26,11330/012,R,32,2023-06-28T11:53:20.039Z,2019-07-06,128817,N,-1,AR013812,20
CM2646,R0026436TRF,METROLOGY,2647,79473,G828,56905,R,2017-12-28,2018-10-25,C,Y,1969,R,1.0,0.0,GO-NO-GO,CA,83580,79473,247859,1.0,G828,2018-10-25,1969,R,301,2023-06-28T11:53:20.039Z,2018-09-17,79473,N,-1,AR014968,38
CM26487,R2824919,METROLOGY-A,26487,128912,AU-MAN-4500,98547,R,2019-06-24,2019-06-25,C,Y,9802A283,R,1.0,0.0,MANÓMETRO,CA,106906,128912,305600,1.0,AU-MAN-4500,2019-06-25,9802A283,R,1,2023-06-28T11:53:20.039Z,,26487,N,-1,AU047713,
CM26487,R2824919,METROLOGY-A,26487,128912,AU-MAN-4500,98547,R,2019-06-24,2019-06-25,C,Y,9802A283,R,1.0,0.0,MANÓMETRO,CA,106906,128912,305600,1.0,AU-MAN-4500,2019-06-25,9802A283,R,1,2023-06-28T11:53:20.039Z,2018-02-28,128912,N,-1,AU047713,482
CM26488,R2825219,METROLOGY,26488,128925,301012,98556,R,2019-06-24,2019-09-08,C,Y,1733,R,1.0,0.0,TERMOMETRO DIGITAL,CA,114832,128925,326540,1.0,301012,2019-09-08,1733,R,76,2023-06-28T11:53:20.039Z,,128925,N,-1,AR027170,
CM26488,R2825219,METROLOGY,26488,128925,301012,98556,R,2019-06-24,2019-09-08,C,Y,1733,R,1.0,0.0,TERMOMETRO DIGITAL,CA,114832,128925,326540,1.0,301012,2019-09-08,1733,R,76,2023-06-28T11:53:20.039Z,,26488,N,-1,AR027170,
CM2649,R0026439TRF,METROLOGY,2650,79476,GF-120B,56908,R,2014-11-25,2019-02-25,C,Y,3795,R,1.0,0.0,MANOMETRO,CA,94924,79476,275409,1.0,GF-120B,2019-02-25,3795,R,1553,2023-06-28T11:53:20.039Z,2019-02-25,79476,N,-1,AR013158,0
CM26565,R2844519,METROLOGY,26565,129201,5000-PSI,98792,R,2019-06-25,2019-09-06,C,Y,6G50003,R,1.0,0.0,MANOMETRO,CA,114731,129201,326245,1.0,5000-PSI,2019-09-06,6G50003,R,73,2023-06-28T11:53:20.039Z,,26565,N,-1,AR013812,
CM26565,R2844519,METROLOGY,26565,129201,5000-PSI,98792,R,2019-06-25,2019-09-06,C,Y,6G50003,R,1.0,0.0,MANOMETRO,CA,114731,129201,326245,1.0,5000-PSI,2019-09-06,6G50003,R,73,2023-06-28T11:53:20.039Z,2019-09-05,129201,N,-1,AR013812,1
CM26566,R2844719,METROLOGY,26566,129205,5000-PSI,98796,R,2019-06-25,2019-10-24,C,Y,6G50005,R,1.0,0.0,MANOMETRO,CA,119776,129205,339009,1.0,5000-PSI,2019-10-24,6G50005,R,121,2023-06-28T11:53:20.039Z,,26566,N,-1,AR014968,
CM26566,R2844719,METROLOGY,26566,129205,5000-PSI,98796,R,2019-06-25,2019-10-24,C,Y,6G50005,R,1.0,0.0,MANOMETRO,CA,119776,129205,339009,1.0,5000-PSI,2019-10-24,6G50005,R,121,2023-06-28T11:53:20.039Z,2019-09-05,129205,N,-1,AR014968,49
CM2667,R0026457TRF,METROLOGY,2668,79494,IAER002,56926,R,2017-12-26,2018-09-17,C,Y,508005/01,R,1.0,0.0,EDDY CURRENT UNIT,CA,80389,79494,240883,1.0,IAER002,2018-09-17,508005/01,R,265,2023-06-28T11:53:20.039Z,,79494,N,-1,AR013812,
CM26720,R2865019,METROLOGY-A,26720,129545,H-2016-01,99076,R,2019-06-27,2019-07-24,C,Y,T22432,R,1.0,0.0,MANOMETRO,CA,109863,129545,312958,1.0,H-2016-01,2019-07-24,T22432,R,27,2023-06-28T11:53:20.039Z,,26720,N,-1,AU047713,
CM26720,R2865019,METROLOGY-A,26720,129545,H-2016-01,99076,R,2019-06-27,2019-07-24,C,Y,T22432,R,1.0,0.0,MANOMETRO,CA,109863,129545,312958,1.0,H-2016-01,2019-07-24,T22432,R,27,2023-06-28T11:53:20.039Z,2019-07-23,129545,N,-1,AU047713,1
CM26815,R2877019,METROLOGY,26815,129712,94460.55,99231,R,2019-06-28,2019-08-03,C,Y,230003023,R,1.0,0.0,CRONOMETRO,CA,111139,129712,315708,1.0,94460-55,2019-08-03,230003023,R,36,2023-06-28T11:53:20.039Z,,26815,N,-1,AR022949,
CM26815,R2877019,METROLOGY,26815,129712,94460.55,99231,R,2019-06-28,2019-08-03,C,Y,230003023,R,1.0,0.0,CRONOMETRO,CA,111139,129712,315708,1.0,94460-55,2019-08-03,230003023,R,36,2023-06-28T11:53:20.039Z,,129712,N,-1,AR022949,
CM26816,R2877719,METROLOGY-A,26816,129730,TQR600E,99243,R,2019-06-28,2022-01-19,C,Y,0207102017,R,1.0,0.0,TORQUIMETRO,CA,166741,129730,455715,1.0,TQR600E,2022-01-19,0207102017,R,936,2023-06-28T11:53:20.039Z,,26816,N,-1,AR027170,
CM26816,R2877719,METROLOGY-A,26816,129730,TQR600E,99243,R,2019-06-28,2022-01-19,C,Y,0207102017,R,1.0,0.0,TORQUIMETRO,CA,166741,129730,455715,1.0,TQR600E,2022-01-19,0207102017,R,936,2023-06-28T11:53:20.039Z,2021-08-17,129730,N,5,AR027170,155
CM26818,R2877919,METROLOGY-A,26818,129732,6004MFRMH,99245,R,2019-06-28,2019-06-29,C,Y,0610040263,R,1.0,0.0,TORQUIMETRO,CA,107459,129732,306946,1.0,6004MFRMH,2019-06-29,0610040263,R,1,2023-06-28T11:53:20.039Z,2019-06-28,129732,N,-1,AU047713,1
