cm_projectno,orderno,shop,cm_projectno_i,detailno_i,partno,orderno_i,order_type,order_date,closing_date,state,internal_repair,serial_batch_no,detail_state,qty_order,backorder,description,condition,receiving_number,detailno_i_rec,receiving_detail_number_id,qty_rec,partno_rec,delivery_date,serial_batch_rec,condition_POST,tat,ultima_act,ARRIVAL_IN_SHOP,DETAILNO_I_CM,PAUSED,PAUSING_REASON_I,MUTATOR,TAT_ack_to_close
CM100513,R1439423,METROLOGY,100513,305689,800 PSI,243129,R,2023-05-19,2023-06-14,C,Y,1850,R,1.0,0.0,MANOMETRO,CA,216272,305689,582881,1.0,800 PSI,2023-06-14,1850,R,26,2023-06-28T11:53:20.039Z,,100513,N,-1,AR027170,
CM100553,R1444123,METROLOGY-A,100553,305787,H-2016-01,243202,R,2023-05-19,2023-05-29,C,Y,4443000405,R,1.0,0.0,MANOMETRO,CA,214305,305787,578023,1.0,H-2016-01,2023-05-29,4443000405,R,10,2023-06-28T11:53:20.039Z,2023-05-22,305787,N,5,AR036683,7
CM100553,R1444123,METROLOGY-A,100553,305787,H-2016-01,243202,R,2023-05-19,2023-05-29,C,Y,4443000405,R,1.0,0.0,MANOMETRO,CA,214305,305787,578023,1.0,H-2016-01,2023-05-29,4443000405,R,10,2023-06-28T11:53:20.039Z,,100553,N,-1,AR036683,
CM100581,R1450423,METROLOGY-A,100581,305892,87V,243287,R,2023-05-19,2023-06-26,C,Y,20350178,R,1.0,0.0,MULTIMETRO DIGITAL PORTATIL FLUKE,CA,217466,305892,585615,1.0,87V,2023-06-26,20350178,R,38,2023-06-28T11:53:20.039Z,,100581,N,-1,AR022228,
CM100581,R1450423,METROLOGY-A,100581,305892,87V,243287,R,2023-05-19,2023-06-26,C,Y,20350178,R,1.0,0.0,MULTIMETRO DIGITAL PORTATIL FLUKE,CA,217466,305892,585615,1.0,87V,2023-06-26,20350178,R,38,2023-06-28T11:53:20.039Z,2023-05-22,305892,N,5,AR022228,35
CM100583,R1448323,METROLOGY,100583,305869,1000 PSI,243265,R,2023-05-19,2023-06-14,C,Y,8174046,R,1.0,0.0,MANOMETRO,CA,216227,305869,582768,1.0,1000 PSI,2023-06-14,8174046,R,26,2023-06-28T11:53:20.039Z,2023-05-19,305869,N,2,AR027170,26
CM100583,R1448323,METROLOGY,100583,305869,1000 PSI,243265,R,2023-05-19,2023-06-14,C,Y,8174046,R,1.0,0.0,MANOMETRO,CA,216227,305869,582768,1.0,1000 PSI,2023-06-14,8174046,R,26,2023-06-28T11:53:20.039Z,,100583,N,-1,AR027170,
CM100584,R1448723,METROLOGY,100584,305874,500 PSI,243270,R,2023-05-19,2023-06-15,C,Y,8752303,R,1.0,0.0,MANOMETRO,CA,216389,305874,583057,1.0,500 PSI,2023-06-15,8752303,R,27,2023-06-28T11:53:20.039Z,,100584,N,-1,AR027170,
CM100584,R1448723,METROLOGY,100584,305874,500 PSI,243270,R,2023-05-19,2023-06-15,C,Y,8752303,R,1.0,0.0,MANOMETRO,CA,216389,305874,583057,1.0,500 PSI,2023-06-15,8752303,R,27,2023-06-28T11:53:20.039Z,2023-05-19,305874,N,2,AR027170,27
CM100753,R1476323,METROLOGY,100753,306241,160 PSI,243591,R,2023-05-22,2023-05-28,C,Y,H0989,R,1.0,0.0,MANOMETRO,CA,214275,306241,577959,1.0,160 PSI,2023-05-28,H0989,R,6,2023-06-28T11:53:20.039Z,,100753,N,-1,AR029578,
CM100753,R1476323,METROLOGY,100753,306241,160 PSI,243591,R,2023-05-22,2023-05-28,C,Y,H0989,R,1.0,0.0,MANOMETRO,CA,214275,306241,577959,1.0,160 PSI,2023-05-28,H0989,R,6,2023-06-28T11:53:20.039Z,2023-05-24,306241,N,2,AR029578,4
CM100776,R1484723,METROLOGY,100776,306350,7 BAR,243694,R,2023-05-23,2023-06-09,C,Y,8769,R,1.0,0.0,MANOMETRO,CA,215679,306350,581483,1.0,7 BAR,2023-06-09,8769,R,17,2023-06-28T11:53:20.039Z,,100776,N,-1,AR027170,
CM100776,R1484723,METROLOGY,100776,306350,7 BAR,243694,R,2023-05-23,2023-06-09,C,Y,8769,R,1.0,0.0,MANOMETRO,CA,215679,306350,581483,1.0,7 BAR,2023-06-09,8769,R,17,2023-06-28T11:53:20.039Z,2023-05-24,306350,N,2,AR027170,16
CM100831,R1496623,METROLOGY,100831,306488,4000 PSI,243818,R,2023-05-23,2023-06-09,C,Y,8723,R,1.0,0.0,MANOMETRO,CA,215725,306488,581588,1.0,4000 PSI,2023-06-09,8723,R,17,2023-06-28T11:53:20.039Z,,100831,N,-1,AR027170,
CM100831,R1496623,METROLOGY,100831,306488,4000 PSI,243818,R,2023-05-23,2023-06-09,C,Y,8723,R,1.0,0.0,MANOMETRO,CA,215725,306488,581588,1.0,4000 PSI,2023-06-09,8723,R,17,2023-06-28T11:53:20.039Z,2023-05-24,306488,N,2,AR027170,16
CM100964,R1509523,METROLOGY-A,100964,306862,TD5-01000K,244007,R,2023-05-24,2023-06-27,C,Y,873537S,R,1.0,0.0,DINAMOMETRO,CA,217589,306862,585879,1.0,TD5-01000K,2023-06-27,873537S,R,34,2023-06-28T11:53:20.039Z,,100964,N,-1,AR036683,
CM100964,R1509523,METROLOGY-A,100964,306862,TD5-01000K,244007,R,2023-05-24,2023-06-27,C,Y,873537S,R,1.0,0.0,DINAMOMETRO,CA,217589,306862,585879,1.0,TD5-01000K,2023-06-27,873537S,R,34,2023-06-28T11:53:20.039Z,2023-06-02,306862,N,5,AR036683,25
CM101088,R1528123,METROLOGY,101088,307119,SIC 3500,244241,R,2023-05-29,2023-06-11,C,Y,14773/001,R,1.0,0.0,MANOMETRO,CA,215854,307119,581868,1.0,SIC 3500,2023-06-11,14773/001,R,13,2023-06-28T11:53:20.039Z,,101088,N,-1,AR027170,
CM101088,R1528123,METROLOGY,101088,307119,SIC 3500,244241,R,2023-05-29,2023-06-11,C,Y,14773/001,R,1.0,0.0,MANOMETRO,CA,215854,307119,581868,1.0,SIC 3500,2023-06-11,14773/001,R,13,2023-06-28T11:53:20.039Z,2023-06-01,307119,N,2,AR027170,10
CM101175,R1548123,METROLOGY,101175,307380,TH401D,244480,R,2023-05-30,2023-06-07,C,Y,JH16000,R,1.0,0.0,CONTROLADOR + TERMOCUPLA,CA,215406,307380,580727,1.0,TH401D,2023-06-07,JH16000,R,8,2023-06-28T11:53:20.039Z,,101175,N,-1,AR027170,
CM101175,R1548123,METROLOGY,101175,307380,TH401D,244480,R,2023-05-30,2023-06-07,C,Y,JH16000,R,1.0,0.0,CONTROLADOR + TERMOCUPLA,CA,215406,307380,580727,1.0,TH401D,2023-06-07,JH16000,R,8,2023-06-28T11:53:20.039Z,2023-06-06,307380,N,2,AR027170,1
CM101179,R1549723,METROLOGY,101179,307408,50-R,244499,R,2023-05-30,2023-06-02,C,Y,9816,R,1.0,0.0,TORQUIMETRO,CA,214966,307408,579749,1.0,50-R,2023-06-02,9816,R,3,2023-06-28T11:53:20.039Z,2023-06-01,307408,N,5,AR027170,1
CM101179,R1549723,METROLOGY,101179,307408,50-R,244499,R,2023-05-30,2023-06-02,C,Y,9816,R,1.0,0.0,TORQUIMETRO,CA,214966,307408,579749,1.0,50-R,2023-06-02,9816,R,3,2023-06-28T11:53:20.039Z,,101179,N,-1,AR027170,
CM101242,R1556023,METROLOGY,101242,307528,NTG2604-S,244583,R,2023-05-31,2023-06-06,C,Y,8500,R,1.0,0.0,MANOMETRO DE RUEDAS,CA,215388,307528,580660,1.0,NTG2604-S,2023-06-06,8500,R,6,2023-06-28T11:53:20.039Z,,101242,N,-1,AR027170,
CM101242,R1556023,METROLOGY,101242,307528,NTG2604-S,244583,R,2023-05-31,2023-06-06,C,Y,8500,R,1.0,0.0,MANOMETRO DE RUEDAS,CA,215388,307528,580660,1.0,NTG2604-S,2023-06-06,8500,R,6,2023-06-28T11:53:20.039Z,2023-06-01,307528,N,2,AR027170,5
CM101315,R1569623,METROLOGY,101315,307709,0-600 PSI,244754,R,2023-06-01,2023-06-12,C,Y,8508,R,1.0,0.0,MANOMETRO,CA,215862,307709,581884,1.0,0-600 PSI,2023-06-12,8508,R,11,2023-06-28T11:53:20.039Z,,101315,N,-1,AR027170,
CM101315,R1569623,METROLOGY,101315,307709,0-600 PSI,244754,R,2023-06-01,2023-06-12,C,Y,8508,R,1.0,0.0,MANOMETRO,CA,215862,307709,581884,1.0,0-600 PSI,2023-06-12,8508,R,11,2023-06-28T11:53:20.039Z,2023-06-06,307709,N,2,AR027170,6
CM101327,R1572023,METROLOGY,101327,307735,TQFR50C,244780,R,2023-06-01,2023-06-15,C,Y,1117802320,R,1.0,0.0,TORQUIMETRO,CA,216506,307735,583299,1.0,TQFR50C,2023-06-15,1117802320,R,14,2023-06-28T11:53:20.039Z,,101327,N,-1,AR027170,
CM101327,R1572023,METROLOGY,101327,307735,TQFR50C,244780,R,2023-06-01,2023-06-15,C,Y,1117802320,R,1.0,0.0,TORQUIMETRO,CA,216506,307735,583299,1.0,TQFR50C,2023-06-15,1117802320,R,14,2023-06-28T11:53:20.039Z,2023-06-01,307735,N,5,AR027170,14
CM101347,R1573023,METROLOGY,101347,307749,ATECH1FS240,244794,R,2023-06-01,2023-06-07,C,Y,0522103559,R,1.0,0.0,TORQUIMETRO,CA,215487,307749,580956,1.0,ATECH1FS240,2023-06-07,0522103559,R,6,2023-06-28T11:53:20.039Z,,101347,N,-1,AR027170,
CM101347,R1573023,METROLOGY,101347,307749,ATECH1FS240,244794,R,2023-06-01,2023-06-07,C,Y,0522103559,R,1.0,0.0,TORQUIMETRO,CA,215487,307749,580956,1.0,ATECH1FS240,2023-06-07,0522103559,R,6,2023-06-28T11:53:20.039Z,2023-06-02,307749,N,5,AR027170,5
